index,age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,y
0,33,unemployed,single,unknown,0,170,yes,0,unknown,3,6,1,-1,0,unknown,0
1,37,services,married,secondary,0,6089,yes,0,cellular,14,5,2,-1,0,unknown,1
2,35,blue-collar,married,secondary,0,137,no,1,unknown,4,10,1,808,12,failure,0
3,38,admin.,divorced,secondary,0,673,yes,0,cellular,7,5,1,170,3,other,0
4,44,services,divorced,secondary,0,2416,yes,0,unknown,14,5,3,-1,0,unknown,0
5,43,management,married,tertiary,0,228,yes,0,cellular,2,2,1,-1,0,unknown,0
6,51,management,married,tertiary,0,1392,no,0,cellular,7,7,3,-1,0,unknown,0
7,49,blue-collar,married,primary,0,217,yes,0,cellular,5,2,2,196,4,other,0
8,34,blue-collar,married,secondary,0,320,yes,0,cellular,12,11,1,92,3,success,1
9,38,admin.,divorced,secondary,0,4630,yes,0,unknown,3,6,3,-1,0,unknown,0
10,34,technician,single,secondary,0,95,no,0,cellular,22,8,8,-1,0,unknown,0
11,36,self-employed,married,tertiary,0,15,yes,0,unknown,28,5,4,-1,0,unknown,0
12,38,technician,single,tertiary,0,-572,yes,1,unknown,5,6,24,-1,0,unknown,0
13,53,technician,married,secondary,0,100,no,0,cellular,13,8,4,-1,0,unknown,0
14,57,services,married,secondary,0,1315,no,0,cellular,14,8,2,-1,0,unknown,0
15,60,management,divorced,secondary,0,0,yes,0,telephone,13,5,4,350,6,failure,0
16,59,retired,divorced,tertiary,0,3444,no,0,cellular,6,2,2,-1,0,unknown,1
17,34,services,single,secondary,0,1157,yes,0,unknown,21,5,2,-1,0,unknown,0
18,31,management,single,secondary,0,202,yes,0,cellular,7,5,1,-1,0,unknown,0
19,41,technician,married,secondary,0,0,no,0,unknown,20,6,3,-1,0,unknown,0
20,52,technician,divorced,secondary,0,106,no,0,cellular,12,8,4,-1,0,unknown,0
21,30,services,single,secondary,0,442,yes,0,unknown,16,5,3,-1,0,unknown,0
22,50,technician,married,secondary,0,1412,no,0,cellular,6,8,3,-1,0,unknown,0
23,30,technician,married,secondary,0,616,yes,0,cellular,6,5,1,-1,0,unknown,0
24,27,blue-collar,single,secondary,0,5563,yes,0,unknown,30,5,2,-1,0,unknown,0
25,34,management,single,tertiary,0,872,yes,0,unknown,7,5,2,-1,0,unknown,0
26,51,management,divorced,tertiary,0,71,yes,0,cellular,14,8,2,-1,0,unknown,0
27,54,blue-collar,married,secondary,0,-10,yes,0,cellular,21,11,2,-1,0,unknown,0
28,31,technician,single,tertiary,0,614,no,0,cellular,11,8,4,-1,0,unknown,0
29,30,admin.,single,secondary,0,387,yes,0,unknown,8,5,1,-1,0,unknown,0
30,47,retired,married,primary,0,1374,no,1,telephone,8,5,2,359,3,failure,1
31,36,self-employed,married,secondary,0,14,yes,1,cellular,11,5,1,-1,0,unknown,0
32,46,blue-collar,married,primary,0,1429,yes,0,unknown,14,5,1,-1,0,unknown,0
33,35,self-employed,married,tertiary,0,560,yes,0,cellular,17,11,1,-1,0,unknown,0
34,27,management,married,tertiary,0,4909,no,1,cellular,17,7,3,-1,0,unknown,0
35,36,self-employed,married,secondary,0,96,no,0,cellular,27,8,15,-1,0,unknown,0
36,58,blue-collar,married,secondary,0,1826,yes,0,unknown,19,6,3,-1,0,unknown,0
37,55,services,divorced,secondary,0,2166,yes,0,unknown,28,5,17,-1,0,unknown,0
38,34,housemaid,married,primary,0,2929,no,0,cellular,14,8,2,-1,0,unknown,1
39,36,technician,married,secondary,0,0,yes,0,cellular,6,4,3,335,2,other,0
40,34,management,single,tertiary,0,3679,yes,0,cellular,12,8,1,-1,0,unknown,0
41,51,blue-collar,married,primary,0,462,yes,0,cellular,29,8,2,-1,0,unknown,0
42,39,management,single,tertiary,0,968,yes,0,cellular,7,5,1,258,6,failure,0
43,46,blue-collar,married,secondary,0,524,yes,0,telephone,5,5,7,-1,0,unknown,0
44,30,technician,single,secondary,0,2544,no,0,cellular,8,4,2,-1,0,unknown,1
45,33,management,single,tertiary,0,-61,no,0,unknown,28,5,2,-1,0,unknown,0
46,56,services,married,primary,0,966,no,1,cellular,10,7,1,-1,0,unknown,0
47,31,technician,married,secondary,0,141,yes,0,unknown,21,5,2,-1,0,unknown,0
48,29,technician,single,tertiary,0,195,yes,1,cellular,6,2,16,-1,0,unknown,0
49,36,management,single,tertiary,0,62,yes,0,cellular,3,11,1,182,7,failure,1
50,57,blue-collar,divorced,primary,0,5041,yes,0,cellular,16,4,1,336,1,failure,0
51,36,blue-collar,single,secondary,0,3623,no,0,unknown,12,11,1,378,1,success,1
52,30,admin.,single,secondary,0,0,no,0,cellular,4,9,3,-1,0,unknown,1
53,26,management,single,tertiary,0,1592,no,0,cellular,6,10,2,485,5,other,0
54,32,blue-collar,single,secondary,0,-197,no,1,cellular,8,7,1,-1,0,unknown,0
55,42,technician,married,tertiary,0,757,no,0,cellular,10,2,1,-1,0,unknown,1
56,33,services,married,tertiary,0,546,yes,1,cellular,3,2,2,270,1,failure,0
57,32,blue-collar,married,secondary,0,254,yes,0,cellular,19,11,3,-1,0,unknown,1
58,40,unemployed,married,primary,0,-78,no,0,cellular,3,2,4,-1,0,unknown,0
59,35,management,married,tertiary,0,1036,no,0,cellular,13,8,1,-1,0,unknown,0
60,33,services,married,secondary,0,22,yes,0,unknown,5,5,1,-1,0,unknown,0
61,33,services,married,secondary,0,174,yes,0,cellular,15,5,1,298,1,other,0
62,44,technician,married,tertiary,0,851,yes,0,cellular,11,7,2,-1,0,unknown,0
63,27,services,married,secondary,0,15,yes,0,unknown,16,5,1,-1,0,unknown,0
64,51,technician,divorced,secondary,0,1063,no,1,cellular,4,8,1,-1,0,unknown,0
65,39,technician,married,tertiary,0,94,no,0,cellular,7,8,2,-1,0,unknown,0
66,38,services,married,secondary,0,706,no,0,cellular,18,11,2,-1,0,unknown,0
67,38,management,single,tertiary,0,2117,no,0,cellular,14,8,2,-1,0,unknown,0
68,25,services,single,secondary,0,3856,yes,0,unknown,20,6,28,-1,0,unknown,0
69,64,retired,married,tertiary,0,2139,no,0,cellular,14,10,2,-1,0,unknown,0
70,43,self-employed,married,secondary,0,0,no,0,cellular,25,9,2,-1,0,unknown,0
71,28,blue-collar,married,secondary,0,-185,yes,1,unknown,13,5,1,-1,0,unknown,0
72,43,services,divorced,secondary,0,-145,yes,0,cellular,28,7,3,-1,0,unknown,0
73,46,blue-collar,single,secondary,0,521,yes,0,cellular,13,5,1,-1,0,unknown,0
74,58,retired,married,secondary,0,1172,no,0,cellular,31,7,1,-1,0,unknown,0
75,41,blue-collar,married,secondary,0,-100,yes,0,unknown,16,6,21,-1,0,unknown,0
76,57,management,married,primary,0,6900,no,0,cellular,21,4,2,-1,0,unknown,0
77,44,entrepreneur,married,tertiary,0,624,no,0,telephone,14,8,2,-1,0,unknown,1
78,30,technician,married,tertiary,0,1103,yes,1,cellular,29,7,15,-1,0,unknown,0
79,41,self-employed,married,secondary,0,20,no,0,unknown,5,6,1,-1,0,unknown,0
80,34,technician,married,secondary,1,91,no,0,cellular,29,8,4,-1,0,unknown,0
81,53,blue-collar,divorced,primary,0,2656,yes,0,unknown,30,5,2,-1,0,unknown,1
82,35,blue-collar,married,secondary,0,-659,yes,1,unknown,28,5,2,-1,0,unknown,0
